"ID","X","Y","SIGLA_PAIS","UC","Garimpo+5k","CD_MUN","NM_MUN","UF","Bacia Hidr","Reg ANAC","CIAD"
2063,-52.394589,-10.159251,"BRA",,"NÃO",5107743,"Santa Cruz do Xingu","MT","Xingu","NÃO",
268,-53.168975,-12.942436,"BRA",,"NÃO",5103858,"Gaúcha do Norte","MT","Xingu","NÃO",
115,-51.122325,-7.771392,"BRA",,"NÃO",1502764,"Cumaru do Norte","PA","Xingu","NÃO",
166,-53.391281,-8.724954,"BRA",,"NÃO",1500602,"Altamira","PA","Xingu","NÃO",
2297,-52.019643,-6.786098,"BRA","ÁREA DE PROTEÇÃO AMBIENTAL TRIUNFO DO XINGU","SIM",1507300,"São Félix do Xingu","PA","Xingu","NÃO",
1690,-52.048136,-3.960105,"BRA",,"NÃO",1507805,"Senador José Porfírio","PA","Xingu","NÃO",
870,-51.476382,-8.651042,"BRA",,"NÃO",1502764,"Cumaru do Norte","PA","Xingu","NÃO",
1059,-50.990544,-8.457867,"BRA",,"NÃO",1502764,"Cumaru do Norte","PA","Xingu","SIM","PA0290"
2696,-51.774487,-12.448195,"BRA",,"NÃO",5101852,"Bom Jesus do Araguaia","MT","Xingu","SIM","MT0142"
2568,-53.701708,-10.157201,"BRA",,"NÃO",5106422,"Peixoto de Azevedo","MT","Xingu","SIM","MT0134"
2695,-51.930799,-12.640807,"BRA",,"NÃO",5107180,"Ribeirão Cascalheira","MT","Xingu","SIM","MT0386"
1895,-52.951196,-11.457163,"BRA",,"NÃO",5107859,"São Félix do Araguaia","MT","Xingu","NÃO",
590,-53.958815,-5.126738,"BRA","ESTAÇÃO ECOLÓGICA DA TERRA DO MEIO","NÃO",1500602,"Altamira","PA","Xingu","NÃO",
591,-53.728728,-5.228736,"BRA","ESTAÇÃO ECOLÓGICA DA TERRA DO MEIO","NÃO",1500602,"Altamira","PA","Xingu","NÃO",
1317,-51.45004,-6.118199,"BRA",,"NÃO",1507300,"São Félix do Xingu","PA","Xingu","NÃO",
2174,-53.601276,-9.784906,"BRA",,"NÃO",5106422,"Peixoto de Azevedo","MT","Xingu","SIM","MT0855"
2632,-52.286327,-10.150913,"BRA",,"NÃO",5107743,"Santa Cruz do Xingu","MT","Xingu","SIM","MT0281"
2283,-55.020792,-8.162366,"BRA",,"SIM",1500602,"Altamira","PA","Xingu","NÃO",
642,-53.504283,-6.540013,"BRA","ÁREA DE PROTEÇÃO AMBIENTAL TRIUNFO DO XINGU","NÃO",1500602,"Altamira","PA","Xingu","NÃO",
2153,-54.573355,-11.324186,"BRA",,"NÃO",5108303,"União do Sul","MT","Xingu","SIM","MT0252"
2308,-52.246135,-6.32985,"BRA",,"SIM",1507300,"São Félix do Xingu","PA","Xingu","NÃO",
1854,-51.92667,-12.250357,"BRA",,"NÃO",5101852,"Bom Jesus do Araguaia","MT","Xingu","NÃO",
262,-53.106975,-12.546937,"BRA",,"NÃO",5103858,"Gaúcha do Norte","MT","Xingu","NÃO",
1351,-52.691266,-14.096317,"BRA",,"NÃO",5100201,"Água Boa","MT","Xingu","SIM","MT0786"
