ID,SETCENS,AREAP,CODDIST,DISTRITO,CODSUBPREF,SUBPREF,REGIAO5,REGIAO8,NOMESC,ENDESC,NUMESC,COMPLEND,ENDERECO,BAIESC,CODCEP,FONE1,FONE2,EMAIL,ED_DIRETOR,DIRETORIA,DRE,ED_ZONA,ZONA,CODESC,CODESCMEC,COD_EOL,ED_DEPADM,DEPADM,ED_TIPO,TIPO,ED_CATEG,CATEG,ALCRECHE,ALPRE,ALEE,AL9INI,AL9FIN,ALEM,ALPROF,ALEJAFUND,ALEJAEM,AL_TOTAL,CLCRECHE,CLPRE,CLEE,CL9INI,CL9FIN,CLEM,CLPROF,CLEJAFUND,CLEJAEM,CL_TOTAL,x,y
1263,355030811000178,3550308005190,11,BRASILANDIA,03,FREGUESIA-BRASILANDIA,Norte,Norte 2,CR P CONV VO NICE,DOM TOMAS DE NORONHA,125,,DOM TOMAS DE NORONHA,JARDIM VISTA ALEGRE,02877040,39853378,,,19908,Freguesia/Brasilandia,,1,URBANA,,35006667,309443,3,MUNICIPAL,306,CR.P.CONV,1,ESCOLAS AUTONOMAS,151,0,0,0,0,0,0,0,0,151,10,0,0,0,0,0,0,0,0,10,-46.68114936533261,-23.45065331520481
1264,355030811000213,3550308005123,11,BRASILANDIA,03,FREGUESIA-BRASILANDIA,Norte,Norte 2,CR P CONV BOAVENTURA,JORGE PALMIRO MERCADO,107,,JORGE PALMIRO MERCADO,VILA TERESINHA,02854020,39256019,,,19908,Freguesia/Brasilandia,,1,URBANA,,35006669,309447,3,MUNICIPAL,306,CR.P.CONV,1,ESCOLAS AUTONOMAS,204,0,0,0,0,0,0,0,0,204,18,0,0,0,0,0,0,0,0,18,-46.696710584994925,-23.458294782391903
1265,355030825000118,3550308005273,25,CIDADE TIRADENTES,31,CIDADE TIRADENTES,Leste,Leste 2,CEI INDIR MARIA ELISABETE LIMA MOTA,IGARAPE DA MISSAO,100,,IGARAPE DA MISSAO,CONJUNTO HABITACIONAL SANTA ETELVINA II,08485010,41186677,,,19909,Guaianases,,1,URBANA,,35006670,400871,3,MUNICIPAL,303,CEI INDIR,1,ESCOLAS AUTONOMAS,145,0,0,0,0,0,0,0,0,145,13,0,0,0,0,0,0,0,0,13,-46.40921524677894,-23.59023567508275
1266,355030837000244,3550308005199,37,ITAQUERA,27,ITAQUERA,Leste,Leste 2,CR P CONV CARROSSEL,DO IMPERADOR,4796,,DO IMPERADOR,JARDIM SAO SEBASTIAO,08050000,20530913,,,19912,Itaquera,,1,URBANA,,35006672,309446,3,MUNICIPAL,306,CR.P.CONV,1,ESCOLAS AUTONOMAS,120,0,0,0,0,0,0,0,0,120,13,0,0,0,0,0,0,0,0,13,-46.457821353805954,-23.515692212729984
1267,355030854000066,3550308005104,54,MORUMBI,10,BUTANTA,Oeste,Oeste,ESC PART MAPLE BEAR CANADIAN SCHOOL MORUMBI PAINEIRAS,LIONS CLUB MORUMBI,90,,LIONS CLUB MORUMBI,,05650010,37747276,,,19902,Butantã,,1,URBANA,,35006673,309445,4,PRIVADA,499,EP,1,ESCOLAS AUTONOMAS,32,25,0,0,0,0,0,0,0,57,3,2,0,0,0,0,0,0,0,5,-46.71295780322407,-23.609025389633764
1268,355030868000231,3550308005085,68,SACOMA,13,IPIRANGA,Sul,Sul 1,ESC PART LA VIDA - BERCARIO E EDUCACAO INFANTIL,DAS CORRIDAS,26,,DAS CORRIDAS,VILA MOINHO VELHO,04286050,,,,19910,Ipiranga,,1,URBANA,,35006675,303038,4,PRIVADA,499,EP,1,ESCOLAS AUTONOMAS,13,5,0,0,0,0,0,0,0,18,4,2,0,0,0,0,0,0,0,6,-46.601788211579354,-23.60688416404271
1269,355030810000007,3550308005005,10,BRAS,25,MOOCA,Leste,Leste 1,SP ESCOLA DE TEATRO,RANGEL PESTANA,2401,,RANGEL PESTANA,BRAS,03001000,31213200,,,10102,Centro,,1,URBANA,,35006684,,4,PRIVADA,421,EDUCACAO PROFISSIONAL-QUALIFICACAO BASICA,1,ESCOLAS AUTONOMAS,0,0,0,0,0,0,311,0,0,311,0,0,0,0,0,0,16,0,0,16,-46.61292680550294,-23.54024830353235
1270,355030874000131,3550308005196,74,SAO MIGUEL,23,SAO MIGUEL,Leste,Leste 2,CR P CONV HOREBE,SANTA BERNADETE,1,,SANTA BERNADETE,JARDIM NAIR,08071280,29569014,,,19925,Sao Miguel,,1,URBANA,,35006685,309450,3,MUNICIPAL,306,CR.P.CONV,1,ESCOLAS AUTONOMAS,156,0,0,0,0,0,0,0,0,156,13,0,0,0,0,0,0,0,0,13,-46.4517515343593,-23.49120489497012
1271,355030836000091,3550308005254,36,ITAIM PAULISTA,24,ITAIM PAULISTA,Leste,Leste 2,CR P CONV LUKINHA,JOSE DE AMENABAR,40,41,JOSE DE AMENABAR,JARDIM NELIA,08142004,36781860,,,19925,Sao Miguel,,1,URBANA,,35006686,309451,3,MUNICIPAL,306,CR.P.CONV,1,ESCOLAS AUTONOMAS,120,0,0,0,0,0,0,0,0,120,11,0,0,0,0,0,0,0,0,11,-46.38363621690491,-23.514135006373486
1272,355030844000153,3550308005247,44,JARDIM HELENA,23,SAO MIGUEL,Leste,Leste 2,CR P CONV TIO LUIZ,SERRA DE LUIS GOMES,349,,SERRA DE LUIS GOMES,VILA ITAIM,08190500,25818086,,,19925,Sao Miguel,,1,URBANA,,35006687,309452,3,MUNICIPAL,306,CR.P.CONV,1,ESCOLAS AUTONOMAS,128,0,0,0,0,0,0,0,0,128,11,0,0,0,0,0,0,0,0,11,-46.39192310503084,-23.48367836713772
1273,355030848000072,3550308005059,48,LAPA,08,LAPA,Oeste,Oeste,CATATAU E E I,RUA AURELIA,2136,,RUA AURELIA,VILA ROMANA,05046001,38344835,,,19921,Pirituba,,1,URBANA,,35006691,309453,4,PRIVADA,499,EP,1,ESCOLAS AUTONOMAS,21,14,0,0,0,0,0,0,0,35,3,3,0,0,0,0,0,0,0,6,-46.69767664998129,-23.540083480976183
1274,355030875000115,3550308005278,75,SAO RAFAEL,30,SAO MATEUS,Leste,Leste 2,CR P CONV NOSSA SENHORA MAGLAC,CONDE DE ERICEIRA,21,,CONDE DE ERICEIRA,JARDIM SANTO ANDRE,08390390,27530194,,,19924,Sao Mateus,,1,URBANA,,35006692,309454,3,MUNICIPAL,306,CR.P.CONV,1,ESCOLAS AUTONOMAS,70,0,0,0,0,0,0,0,0,70,6,0,0,0,0,0,0,0,0,6,-46.44488068744602,-23.634957110196403
1275,355030837000019,3550308005202,37,ITAQUERA,27,ITAQUERA,Leste,Leste 2,CR P CONV QUATRO PILARES DA EDUCACAO III,IGNACIO ALVES DE MATTOS,340,,IGNACIO ALVES DE MATTOS,ITAQUERA,08210210,24008709,,,19912,Itaquera,,1,URBANA,,35006694,309455,3,MUNICIPAL,306,CR.P.CONV,1,ESCOLAS AUTONOMAS,69,0,0,0,0,0,0,0,0,69,7,0,0,0,0,0,0,0,0,7,-46.45304345351345,-23.53937631263564
1276,355030865000068,3550308005239,65,RAPOSO TAVARES,10,BUTANTA,Oeste,Oeste,CR P CONV NOSSO LAR II,EUDORO LINCOLN BERLINCK,346,,EUDORO LINCOLN BERLINCK,JARDIM ARPOADOR,05565200,30441119,,,19902,Butantã,,1,URBANA,,35006696,309456,3,MUNICIPAL,306,CR.P.CONV,1,ESCOLAS AUTONOMAS,241,0,0,0,0,0,0,0,0,241,22,0,0,0,0,0,0,0,0,22,-46.79389218499208,-23.596087625015535
1277,355030824000045,3550308005203,24,CIDADE LIDER,27,ITAQUERA,Leste,Leste 2,CR P CONV PRIMAVERA,MORUBIXABA,130,,MORUBIXABA,CIDADE LIDER,08280630,27754838,,,19912,Itaquera,,1,URBANA,,35006700,309457,3,MUNICIPAL,306,CR.P.CONV,1,ESCOLAS AUTONOMAS,58,0,0,0,0,0,0,0,0,58,6,0,0,0,0,0,0,0,0,6,-46.48126094727735,-23.560905359804607
1278,355030830000332,3550308005285,30,GRAJAU,19,CAPELA DO SOCORRO,Sul,Sul 2,CEI INDIR JARDIM SAO JUDAS TADEU,ANTONIO BURLINI,184,,ANTONIO BURLINI,JARDIM SAO JUDAS TADEU,04858170,45050840,,,19927,Capela do Socorro,,1,URBANA,,35006703,400873,3,MUNICIPAL,303,CEI INDIR,1,ESCOLAS AUTONOMAS,219,0,0,0,0,0,0,0,0,219,18,0,0,0,0,0,0,0,0,18,-46.70531181608617,-23.774228233910236
1279,355030813000089,3550308005126,13,CACHOEIRINHA,04,CASA VERDE-CACHOEIRINHA,Norte,Norte 2,CR P CONV ARCO IRIS,APARECIDA DE MINAS,274,282,APARECIDA DE MINAS,JARDIM PERI,02679030,39899040,,,19908,Freguesia/Brasilandia,,1,URBANA,,35006710,309458,3,MUNICIPAL,306,CR.P.CONV,1,ESCOLAS AUTONOMAS,145,0,0,0,0,0,0,0,0,145,14,0,0,0,0,0,0,0,0,14,-46.66533010750195,-23.45619640347459
1280,355030834000032,3550308005084,34,IPIRANGA,13,IPIRANGA,Sul,Sul 1,ESC PART -MEU LIMAO MEU LIMOEIRO U E,RUA COSTA AGUIAR,2195,,RUA COSTA AGUIAR,IPIRANGA,04204002,20619292,,,19910,Ipiranga,,1,URBANA,,35006714,309459,4,PRIVADA,499,EP,1,ESCOLAS AUTONOMAS,39,7,0,0,0,0,0,0,0,46,5,1,0,0,0,0,0,0,0,6,-46.605556285363704,-23.59349596540843
1281,355030834000157,3550308005019,34,IPIRANGA,13,IPIRANGA,Sul,Sul 1,ESCOLA SHEKINAH UNIDADE ENSINO FUNDAMENTAL,LORD COCKRANE,,607,LORD COCKRANE,IPIRANGA,04213001,22190698,,,10316,Centro-Sul,,1,URBANA,,35006720,,4,PRIVADA,499,EP,1,ESCOLAS AUTONOMAS,0,0,0,98,0,0,0,0,0,98,0,0,0,7,0,0,0,0,0,7,-46.59536430549224,-23.592310977876945
1282,355030834000087,3550308005043,34,IPIRANGA,13,IPIRANGA,Sul,Sul 1,PLACE KIDS,DE VISCONDE PIRAJA,303,,DE VISCONDE PIRAJA,VILA DOM PEDRO I,04277020,50617608,,,10316,Centro-Sul,,1,URBANA,,35006721,,4,PRIVADA,499,EP,1,ESCOLAS AUTONOMAS,26,14,0,3,0,0,0,0,0,43,4,2,0,1,0,0,0,0,0,7,-46.612725302014255,-23.600855215117612
