mun_codigo;mun_nome;set_cens_cod;ipvs_grupo;renda_media_dom;renda_media_per_capita
3500709;Agudos;350070905000022;4;1334,302564;371,6985714
3500709;Agudos;350070905000023;4;1359,666667;377,6851852
3500709;Agudos;350070905000024;4;1331,058201;374,9180328
3500709;Agudos;350070905000025;0;924,3076923;195,3821138
3500709;Agudos;350070905000026;4;1366,084416;351,5071011
3500709;Agudos;350070905000027;3;2060,45;605,4582185
3500709;Agudos;350070905000028;2;2218,607143;686,4198895
3500709;Agudos;350070905000029;3;1709,33526;505,0640478
3500709;Agudos;350070905000030;4;1478,356902;416,9724596
3500709;Agudos;350070905000031;5;1606,996516;488,0507937
3500709;Agudos;350070905000032;5;1271,97318;344,0259067
3500709;Agudos;350070905000033;2;1987,669323;617,4566832
3500709;Agudos;350070905000034;5;1161,891304;318,1369048
3500709;Agudos;350070905000035;2;1982,251908;583,5393258
3500709;Agudos;350070905000036;0;3704,482759;934,173913
3500709;Agudos;350070905000037;0;3457,647059;1277,826087
3500709;Agudos;350070905000038;3;1389,104478;396,0425532
3500709;Agudos;350070905000039;0;1181,25;315
3500709;Agudos;350070905000040;0; ; 
3500709;Agudos;350070905000041;2;1356,446281;419,769821
3500709;Agudos;350070905000042;2;3236,94375;997,9017341
3500709;Agudos;350070905000043;2;4140,991304;1301,131148
3500709;Agudos;350070905000044;5;1230,473684;358,8881579
3500709;Agudos;350070905000045;3;1455,673333;383,0719298
3500709;Agudos;350070905000046;5;919,912037;228,6547756
3500709;Agudos;350070905000047;0;1336,9375;436,5510204
3500709;Agudos;350070910000001;4;1798,059172;569,0486891
3500709;Agudos;350070910000002;7;1186,242105;364,7022654
3500709;Agudos;350070910000003;3;1707,25;471,8218182
3500758;Alambari;350075805000001;4;1670,428016;526,1029412
3500758;Alambari;350075805000002;5;1545,429204;469,4448925
3500758;Alambari;350075805000003;0;1373,333333;401,9512195
3500758;Alambari;350075805000004;4;1643,815029;504,2198582
3500758;Alambari;350075805000005;2;1506;534,537037
3500758;Alambari;350075805000006;0;1150,526316;303,6111111
3500758;Alambari;350075805000007;2;1372,245455;441,3654971
3500758;Alambari;350075805000008;2;2465,351351;768,6910112
3500758;Alambari;350075805000009;0; ; 
3500758;Alambari;350075805000010;5;1590;493,877095
3500758;Alambari;350075805000011;0;2471,315789;711,4393939
3500758;Alambari;350075805000012;0; ; 
3500758;Alambari;350075805000013;0;1725,555556;564,7272727
3500758;Alambari;350075805000014;0;1517,5;456,8817204
3500758;Alambari;350075805000015;3;1220,972789;396,209713
3500758;Alambari;350075805000016;0;3688;1189,677419
3500808;Alfredo Marcondes;350080805000001;2;2207,69186;868,9313501
3500808;Alfredo Marcondes;350080805000002;4;1936,354651;676,9369919
3500808;Alfredo Marcondes;350080805000003;4;1594,812227;513,6596343
3500808;Alfredo Marcondes;350080805000004;4;1579,777778;571,4089835
3500808;Alfredo Marcondes;350080805000005;4;1563,447619;527,85209
3500808;Alfredo Marcondes;350080805000006;4;1398,664596;489,5326087
3500808;Alfredo Marcondes;350080805000007;0;1599,6;533,2
3500808;Alfredo Marcondes;350080805000008;0;1645,55;587,6964286
3500808;Alfredo Marcondes;350080805000009;2;1168,461538;402,384106
3500808;Alfredo Marcondes;350080805000010;0;1499,777778;503,6567164
3500808;Alfredo Marcondes;350080805000011;0;1545,243243;501,5263158
3500808;Alfredo Marcondes;350080805000012;0;1060,060606;397,5227273
3500808;Alfredo Marcondes;350080805000013;0;1553,571429;521,4041096
3500907;Altair;350090705000001;4;1706,805687;552,3558282
3500907;Altair;350090705000002;4;1881,518072;616,0394477
3500907;Altair;350090705000003;5;1634,95339;499,8044041
3500907;Altair;350090705000004;2;1765,130081;523,1590361
3500907;Altair;350090705000006;0;1545,769231;482,28
3500907;Altair;350090715000001;5;1170,801587;339,1287356
3500907;Altair;350090715000002;2;1444,87931;443,4021164
3501004;Altin�polis;350100405000001;2;3385,5;1278,440559
3501004;Altin�polis;350100405000002;2;2822,603659;1006,319565
3501004;Altin�polis;350100405000003;4;2042,519084;801,1077844
3501004;Altin�polis;350100405000004;0; ; 
3501004;Altin�polis;350100405000005;2;3006,885246;1157,223975
3501004;Altin�polis;350100405000006;4;1545,957346;448,0728022
3501004;Altin�polis;350100405000007;2;1753,017668;527,2093518
3501004;Altin�polis;350100405000008;4;1801,005376;520,9751166
3501004;Altin�polis;350100405000009;4;1593,074257;461,0329513
3501004;Altin�polis;350100405000010;3;1496,654237;424,1239193
3501004;Altin�polis;350100405000011;4;2915,465969;965,084922
3501004;Altin�polis;350100405000012;4;1553,0625;495,988024
3501004;Altin�polis;350100405000013;4;2046,015152;658,7170732
3501004;Altin�polis;350100405000014;4;2012,745645;684,42891
3501004;Altin�polis;350100405000015;2;1848,7875;565,9553571
3501004;Altin�polis;350100405000016;2;3250,770213;1025,410738
3501004;Altin�polis;350100405000017;4;1657,251938;556,0091027
3501004;Altin�polis;350100405000018;0;1307,428571;427,6635514
3501004;Altin�polis;350100405000019;3;1671,45098;542,955414
3501004;Altin�polis;350100405000020;0; ; 
3501004;Altin�polis;350100405000021;0; ; 
3501004;Altin�polis;350100405000022;5;1493,044025;419,4240283
