municipio,codigo,gentilico,prefeito_2021,area_territorial_km2_2022,populacao_residente_pessoas_2022,densidade_demografica_hab_km2_2022,escolarizacao_span_6_a_14_anos_span_2010,idhm_span_indice_de_desenvolvimento_humano_municipal_span_2010,mortalidade_infantil_obitos_por_mil_nascidos_vivos_2020,receitas_realizadas_r_x1000_2017,despesas_empenhadas_r_x1000_2017,pib_per_capita_r_2020
São Gabriel da Cachoeira,1303809,são-gabrielense,CLOVIS MOREIRA SALDANHA,109192.562,51795,0.47,89.4,0.609,21.04,86867.9924,80002.90556,8133.7
São Paulo de Olivença,1303908,paulivense,NAZARENO SOUZA MARTINS,19658.502,32967,1.68,85.2,0.521,28.29,70201.47994,63593.34124,7539.8
São Sebastião do Uatumã,1303957,uatumaense,JANDER PAES DE ALMEIDA,10647.463,11670,1.1,93.3,0.577,-,26053.07512,22148.24543,8913.14
Silves,1304005,silvense,ARISTIDES QUEIROZ DE OLIVEIRA NETO,3723.382,11559,3.1,96.3,0.632,16.57,26157.33929,21524.89325,14497.22
Tabatinga,1304062,tabatinguense,SAUL NUNES BEMERGUY,3260.103,66764,20.48,91.2,0.616,15.12,111041.91416,98245.23284,9724.24
Tapauá,1304104,tapauense,GAMALIEL ANDRADE DE ALMEIDA,84946.035,19599,0.23,79.5,0.502,2.21,47352.95262,27471.00903,12857.93
Tefé,1304203,tefeense,NICSON MARREIRA LIMA,23692.223,73669,3.11,93.9,0.639,15.07,142248.5801,134280.50525,15811.86
Tonantins,1304237,tonantinense,FRANCISCO SALES DE OLIVEIRA,6446.894,19247,2.99,86.7,0.548,16.99,44853.67132,39604.09608,8395.52
Uarini,1304260,uarinense,ANTONIO WALDETRUDES UCHOA DE BRITO,10274.677,14431,1.4,90.7,0.527,8.98,36758.97347,34568.19759,14985.24
Urucará,1304302,urucaraense,ENRICO DE SOUZA FALABELLA,27901.962,18626,0.67,94.6,0.62,13.84,48232.76259,39612.23523,19023.02
Urucurituba,1304401,urucuritubense,JOSÉ CLAUDENOR DE CASTRO PONTES,2886.494,23945,8.3,93.4,0.588,13.75,40807.25155,37492.36471,8301.07
